# from https://data.oecd.org/healthstat/life-expectancy-at-birth.htm
# on 2/22/2021
# life expectancy at birth, total (male + female) for usa
"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","LIFEEXP","TOT","YR","A","1960",69.9,
"USA","LIFEEXP","TOT","YR","A","1961",70.4,
"USA","LIFEEXP","TOT","YR","A","1962",70.2,
"USA","LIFEEXP","TOT","YR","A","1963",70,
"USA","LIFEEXP","TOT","YR","A","1964",70.3,
"USA","LIFEEXP","TOT","YR","A","1965",70.3,
"USA","LIFEEXP","TOT","YR","A","1966",70.3,
"USA","LIFEEXP","TOT","YR","A","1967",70.7,
"USA","LIFEEXP","TOT","YR","A","1968",70.4,
"USA","LIFEEXP","TOT","YR","A","1969",70.6,
"USA","LIFEEXP","TOT","YR","A","1970",70.9,
"USA","LIFEEXP","TOT","YR","A","1971",71.2,
"USA","LIFEEXP","TOT","YR","A","1972",71.3,
"USA","LIFEEXP","TOT","YR","A","1973",71.5,
"USA","LIFEEXP","TOT","YR","A","1974",72.1,
"USA","LIFEEXP","TOT","YR","A","1975",72.7,
"USA","LIFEEXP","TOT","YR","A","1976",73,
"USA","LIFEEXP","TOT","YR","A","1977",73.4,
"USA","LIFEEXP","TOT","YR","A","1978",73.5,
"USA","LIFEEXP","TOT","YR","A","1979",73.9,
"USA","LIFEEXP","TOT","YR","A","1980",73.7,
"USA","LIFEEXP","TOT","YR","A","1981",74.1,
"USA","LIFEEXP","TOT","YR","A","1982",74.5,
"USA","LIFEEXP","TOT","YR","A","1983",74.6,
"USA","LIFEEXP","TOT","YR","A","1984",74.7,
"USA","LIFEEXP","TOT","YR","A","1985",74.7,
"USA","LIFEEXP","TOT","YR","A","1986",74.7,
"USA","LIFEEXP","TOT","YR","A","1987",74.9,
"USA","LIFEEXP","TOT","YR","A","1988",74.9,
"USA","LIFEEXP","TOT","YR","A","1989",75.1,
"USA","LIFEEXP","TOT","YR","A","1990",75.3,
"USA","LIFEEXP","TOT","YR","A","1991",75.5,
"USA","LIFEEXP","TOT","YR","A","1992",75.7,
"USA","LIFEEXP","TOT","YR","A","1993",75.5,
"USA","LIFEEXP","TOT","YR","A","1994",75.7,
"USA","LIFEEXP","TOT","YR","A","1995",75.7,
"USA","LIFEEXP","TOT","YR","A","1996",76.1,
"USA","LIFEEXP","TOT","YR","A","1997",76.5,
"USA","LIFEEXP","TOT","YR","A","1998",76.7,
"USA","LIFEEXP","TOT","YR","A","1999",76.7,
"USA","LIFEEXP","TOT","YR","A","2000",76.7,
"USA","LIFEEXP","TOT","YR","A","2001",76.9,
"USA","LIFEEXP","TOT","YR","A","2002",77,
"USA","LIFEEXP","TOT","YR","A","2003",77.1,
"USA","LIFEEXP","TOT","YR","A","2004",77.6,
"USA","LIFEEXP","TOT","YR","A","2005",77.6,
"USA","LIFEEXP","TOT","YR","A","2006",77.8,
"USA","LIFEEXP","TOT","YR","A","2007",78.1,
"USA","LIFEEXP","TOT","YR","A","2008",78.1,
"USA","LIFEEXP","TOT","YR","A","2009",78.5,
"USA","LIFEEXP","TOT","YR","A","2010",78.6,
"USA","LIFEEXP","TOT","YR","A","2011",78.7,
"USA","LIFEEXP","TOT","YR","A","2012",78.8,
"USA","LIFEEXP","TOT","YR","A","2013",78.8,
"USA","LIFEEXP","TOT","YR","A","2014",78.9,
"USA","LIFEEXP","TOT","YR","A","2015",78.7,
"USA","LIFEEXP","TOT","YR","A","2016",78.7,
"USA","LIFEEXP","TOT","YR","A","2017",78.6,
"USA","LIFEEXP","TOT","YR","A","2018",78.7,
